username,tweet,twt_source,activity,verified,country,followers,isfake
INCMohitJain,"#BJPCoronaCorruption की वजह और सस्ते और घटिया #RapidTestKit #PPEKit की वजह और #मप्र में #सत्ता_भूख, #भ्रष्टाचार ही प्रमुख कारण है मध्यप्रदेश की इस दुर्दशा का !!
#शर्मकरो_शवराज_महाराज !!
@LambaAlka @DrMonikaSingh_ @GauravPandhi @RTforINDIA #JhootaPatra #ModiKiMKB https://t.co/n2YfAT8DMy",Normal,Normal,NO,India,High,Yes
Nishant1404,#JhootaPatra Arnab  #BJPCoronaCorruption https://t.co/P0DZ10Mp5G,Normal,Normal,NO,India,Medium,Yes
MdAnas_INC001,#BJPCoronaCorruption https://t.co/zS4NkPlO0e,Normal,Normal,NO,India,Low,No
SM_Bishnoi,"Something around ₹ 6500 crores have been deposited in PM-Cares fund.

But not a single penny has been spent so far by the PM Modi. The PMO will have to answer every single question about this money in front of the public.

It's serious case of corruption.
#BJPCoronaCorruption",Normal,Normal,NO,India,Medium,Yes
SM_Bishnoi,"@AshishSinghLIVE But who is responsible for this failure? Someone should be held responsible for wasting time and money of the nation in this time of national crisis, when every single rupee and second counts. #BJPCoronaCorruption",Normal,Normal,NO,India,Medium,Yes
SM_Bishnoi,"@HasibaAmin Corruption in this time of national crisis, is an inhuman act. #BJPCoronaCorruption",Normal,Normal,NO,India,Medium,No
DiyaVer10215470,"@ANI action 👇 reaction 🖕
#BJPCoronaCorruption https://t.co/idDFO6jLy7",Normal,Normal,NO,India,Medium,No
Gajendrasinghjh,"इतनी बड़ी वैश्विक विपदा में भी अगर केंद्र की बीजेपी सरकार घपले-घोटालों में लिप्त हैं तब तो भगवान ही मालिक।

#BJPCoronaCorruption https://t.co/Z4Q6W33HPv",Normal,Normal,NO,India,Medium,No
ZaheerAnsari01,#BJPCoronaCorruption,Normal,Normal,NO,India,Medium,No
voiceofasif1,"Corruption Is The Duty Of BJP.
I Realised It Before You. But You Realized it Now..
#BJPCoronaCorruption",Normal,Normal,NO,India,Low,Yes
BarwaleAbdul,"In the midst of a global pandemic &amp; economic catastrophe, why is the BJP govt spending 145% more for testing kits &amp; wasting tax payers money?

#BJPCoronaCorruption https://t.co/O6aZItpjYd",Normal,Normal,NO,India,Medium,No
BarwaleAbdul,"The import price of each kit is – Rs. 225

But Govt purchased it for Rs 600 for every kit

Even at the time of pandemic, the BJP is minting money. 18 crore kickbacks have been paid to the middlemen.

#BJPCoronaCorruption

https://t.co/QMpD3GuaEn",Normal,Normal,NO,India,Medium,Yes
BarwaleAbdul,"As people of India fight this pandemic, suffering economic losses, the Govt is busy with #BJPCoronaCorruption:

🔹Import Price of 1 Testing Kit: ₹225

🔹Purchase Price of Testing Kit: ₹600

🔹18 crore kickbacks for middlemen

Will the PM speak something on this? Does ""PM care""?",Normal,Normal,NO,India,Medium,Yes
InduAjayDhill,"@AjayKumarDhill #BJPCoronaCorruption 
#BJPCoronaCorruption",Normal,Normal,NO,India,Low,Yes
InduAjayDhill,"#BJPCoronaCorruption 
#BJPCoronaCorruption https://t.co/BBlzB1sTuD",Normal,Normal,NO,India,Low,Yes
RohitRatheeNSUI,"BJP's Corona test kit SCAM
Test kit imported from China at ₹245 per kit being sold to ICMR at ₹600 per kit. 
It's takes an extremely insensitive and inhuman government to run a scam and make profit over the human suffering of this magnitude. #BJPCoronaCorruption",Normal,Normal,NO,India,Medium,No
RohitRatheeNSUI,"In the midst of a global pandemic &amp; economic catastrophe, why is the BJP govt spending 145% more for testing kits &amp; wasting tax payers money?

#BJPCoronaCorruption https://t.co/kvXPJUlDN8",Normal,Normal,NO,India,Medium,No
RohitRatheeNSUI,"In the midst of a global pandemic &amp; economic catastrophe, why is the BJP govt spending 145% more for testing kits &amp; wasting tax payers money?

#BJPCoronaCorruption https://t.co/qHPI0uw3GW",Normal,Normal,NO,India,Medium,No
RohitRatheeNSUI,"The COVID test kit is being imported by 'Matrix labs' from China, then sold to 'Rare Metabolics' for distribution &amp; then bought by ICMR. In this, the rate per kit is increasing from Rs245 per kit to Rs600 per kit. Why are so many middle-men needed? #BJPCoronaCorruption",Normal,Normal,NO,India,Medium,No
RohitRatheeNSUI,How disgusting do you have to be to scam the country during a national crisis? #BJPCoronaCorruption,Normal,Normal,NO,India,Medium,Yes
RohitRatheeNSUI,"Modiji we're waiting for your Mann Ki Baat episode on this.

#BJPCoronaCorruption https://t.co/dZWXQ96srC",Normal,Normal,NO,India,Medium,No
LadlaFahim,#BJPCoronaCorruption https://t.co/7bhJCzCcJa,Normal,Normal,NO,India,Low,No
INCashishsaini,"अब तो देशवासियों को यकीन हो गया होगा कि चौकीदार चोर है

#BJPCoronaCorruption 
#LockdownWithoutPlan https://t.co/JR31oEkbOC",Normal,Normal,NO,India,High,No
INCashishsaini,"@prashantk_dubey @DelhiAipc @INCDelhi @Ch_AnilKumarINC @duttabhishek @mudit_aggarwal @ShashiTharoor @ProfCong @SalmanSoz @AipcNorth @AIPCNewDelhi @AIPCDelhiEast @AIPC_SouthDelhi @AIPCWestDelhi कोरोना वायरस के संकट से बचाव के लिए आपसी दूरी रखना अत्यंत आवश्यक है

एक और राज्य सरकारें आप से दूरी के सिद्धांत को पूरा कर पाने में विफल साबित हो रही है

दूसरी ओर भाजपा के संरक्षण में भ्रष्टाचार चल रहा है

#BJPCoronaCorruption 
#ModiKiMKB",Normal,Normal,NO,India,High,Yes
