username,tweet,twt_source,activity,verified,country,followers,isfake
sayit_nick,"Finally after 1½years, trying my hands on #photoshop. 
#StayHomeStaySafe 
#lockdownhustle https://t.co/19h3uUhfZo",Normal,Normal,NO,India,Medium,No
akkshayjain1995,"#Covid_19india has taught us a big lesson that no matter how many valuable friends you have during your lifetime, atleast one of them should own a Theka.

#COVID2019india #CoronaLockdown #Corona #BEER #alcohol #love #comedy #lockdownhustle #lockdown #IndiaFightsCorona",Normal,Normal,NO,India,Medium,No
moupamohit,#lockdownhustle https://t.co/ghCli6IuWM,Normal,Normal,NO,India,Low,No
syn_solutions_,"Register yourself now....online Speaking Contest use your quarantine.... and develop yourself...!!
#lockdown #contest #prizes #WIN #coronavirus #StayHomeSaveLives #GodMorningMonday #lockdownhustle #mondaythoughts #covidsafe #RaceAcrossTheWorld #StayAtHome https://t.co/31x990gYNj",Normal,Normal,NO,India,Low,No
Markoknow1,"Joey : Hey Chandler! Why are you working. Look it's a lockdown time

Chandler : Ohh and I missed the guidelines ""To not work at all""

 #lockdownhustle",Normal,Normal,NO,India,Low,No
dilipya007,"There are 2 kinds of people right now one is criticizing in this situation and the other is hustling in this situation.
#lockdownhustle",Normal,Normal,NO,India,Low,Yes
raftartoday,"वीडियो कॉन्फ्रेसिंग के जरिए मिला मां बाप, परिवार का आशीर्वाद 500 किलोमीटर ग्रेटर नोएडा में हुई शादी
#lockdown
#lockdownhustle
#lockdownindia
#marriageinLockdown

 https://t.co/beLiOEtPas",Normal,Normal,NO,India,Medium,Yes
jodhbirsvirk,"#lockdown was done when 500 #Covid_19 positive cases  pan #India and discussions are been done to lift lockdown with 28000 cases
Confused govt.
#Covid_19india
#lockdownhustle 
@BJP4India 
@INCIndia",Normal,Normal,NO,India,Medium,No
Indianlooters1,"For latest tips and tricks about tech and loot deals you can visit my website
https://t.co/E9MP9gU96A
#तब्लीगी_जमात_पर_गर्व_है 
#BlackTwitter
#rs50000
#GoogleDoodle
#PrabhakaranIsTamilsIdentity,#lockdownhustle,#हिन्दू_विरोधी_भूरी_काकी
#Islamophia_In_India,#19YrsOfClassicIHKushi",Normal,Normal,NO,India,Low,Yes
Mithileshdhar,"कोरोना से जंग जीतने में जुटे भारत में स्वास्थ्य के स्तर पर ऐसी कई गलतियां हो रही हैं, जिनका खामियाजा आने वाले समय में उठाना पड़ सकता है।
@neetusingh
#lockdown #lockdownextension #lockdownhustle 
https://t.co/uMjOtjMHIh",Normal,Normal,NO,India,High,Yes
ambuj_nautiyal,Now who is this creative person!!!!!! #lockdownhustle #lockdownindia https://t.co/ODkAdf7mYq,Normal,Normal,NO,India,Medium,No
BarkhaS49008990,"Monday these days feel more like Sundays.☀️

#SundayEveryday 

#mondaythoughts #MondayMotivation #MondayMorning #MondayMood #MondayVibes #QuarantineDiaries #lockdownhustle #lockdown #SundayEveryday",Normal,Normal,NO,India,Low,No
swamindradyumna,"Dear devotees: Today, Monday, April 27th, I will be giving a #Webinar at 3:30 pm India time. The title of the class will be, ”Kedarnath - An Ancient Temple Of Lord #Shiva."" We will broadcast live on YouTube. The link will be: https://t.co/qEuXC9Aqms

#lockdownhustle #Mahadev #Joy",Normal,Normal,NO,India,High,No
thefirstindia,"#YuvrajSingh Reminds #JaspritBumrah About Him Predicting Speedster To Become World's Number One Bowler.

#Bumrah #TeamIndia #lockdownhustle #Lockdown #Update https://t.co/Yh6uGh8hos",Normal,Suspecious,NO,India,High,No
thefirstindia,"#AndhraPradesh | With 80 new cases in the past 24 hours, total cases rise to 1177. This includes 235 Discharges and 3- Deaths 

#Coronavirus #COVID19 #lockdown #lockdownhustle #CoronaVirusUpdate https://t.co/dYvUpajqjQ",Normal,Suspecious,NO,India,High,No
thefirstindia,"#Coronavirus | Singapore becomes a third-most infected nation in Asia.

#Singapore #SingaporeTogether #CoronavirusOutbreak #Lockdown #lockdownhustle #COVIDー19 #COVID19 #CoronaVirusUpdates https://t.co/Fw645mUMl3",Normal,Suspecious,NO,India,High,No
thefirstindia,"#GoogleDoodle launches game series amid #COVID19 lockdown

#GooglePlay #StayHome #lockdown #VakeelSaab #GoogleAlerts #PlayGame #lockdownhustle #Coronavirus https://t.co/Z9Mf1mRi48",Normal,Suspecious,NO,India,High,No
thefirstindia,"Punjab Police launches #MainBhiHarjeetSingh to pay tribute to all  COVID-19 warriors. It’s named after SI Harjeet Singh, whose hand was severed by group of criminals on Apr 12 in Patiala. 

#PunjabPolice #Lockdown #lockdownhustle #Coronavirus #HarjeetSingh #MaiBhiPunjabPolice https://t.co/bWSoayjg8t",Normal,Suspecious,NO,India,High,No
thefirstindia,"Chief Minister of Delhi #ArvindKejriwal attends video conference meeting of Chief Ministers with Prime Minister Narendra Modi and Union Home Minister #AmitShah, on COVID19 situation.

#NarendraModi #COVID19 #Covid_19 #lockdownhustle #CoronavirusIndia https://t.co/xh9eb3vN2N",Normal,Suspecious,NO,India,High,No
thefirstindia,"Prime Minister #NarendraModi holds video conference with the Chief Ministers of all States on #COVID19 situation.

#COVID19India #PMModi #lockdownhustle  #CoronavirusLockdown https://t.co/2vJfmj3h1K",Normal,Suspecious,NO,India,High,No
