"username","tweet","twt_source","activity","verified","country","followers","isfake"
"bjpmgmdassan","Delhi HC issues notice on plea raising concerns over possibility of central air-conditioning spreading COVID-19
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #Delhi #highcourt #COVID19Pandemic 
https://t.co/QvuxEwtoZP","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","Remember....
STAY AHEAD OF OTHERS. 
SUBSCRIBE SURE SHOT PACK 
WHATSAPP: 9436024967.

#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch https://t.co/NjzaOWqz1G","Normal","Normal","NO","India","Medium","NO"
"hashcinema","#sachin on his birthday with his mom
#HappyBirthdaySachin #cricket #india #news #SachinTendulkar https://t.co/npKk9bRhiD","Normal","Normal","NO","India","Medium","NO"
"alexchandra_g","Exactly my thoughts #news #Curiosity #India https://t.co/gIRLXkAlxZ","Normal","Normal","NO","India","Medium","NO"
"JantantraTv","Haryana Vidhan Sabha Speaker Gian Chand Gupta Live on JantantraTV
https://t.co/WDMrrHnBOR @GianChandBjp @ANJALI8447 #Hindi #breakingnews #India #news #HindiNews #hindinews","Normal","Normal","NO","India","High","NO"
"Ideastycoon","Spintly Raises INR 1.9 Crore In Pre-Series A Round 

https://t.co/OPJELiUzQG

#business #startup #startupindia #india #TechnologyNews #ROC #fintech #NewsPicks #NEWS #Facts #UPDATE #branding #healthcare #investment #funding @Spintly2","Suspecious","Normal","NO","India","Medium","NO"
"latestlaws","PIL in SC seeks ban on slaughtering of animals by way of 'halal' during COVID-19 pandemic
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #SupremeCourt #COVID2019india #Covid_19 #pandemic 
https://t.co/BEGEVwzc9T","Normal","Normal","NO","India","High","NO"
"ashoksharma81","A SATURDAY THOUGHT......

#SaturdayMotivation
#lockdown #crude
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/ka7J5Rw6Gi","Normal","Normal","NO","India","Medium","NO"
"AlexTelman","#Live #forever. BEAT #CORONISVIRUS

#AUSTRALIA #OZ #aussie
#News #NewsFlash
#SelfIsolated
#USA
#love #art
#CoronavirusUSA
#COVIDー19
#coronavirusaustralia
#coronavirusuk
#COVID19 #business
#COVID19de #italy #india
#COVID #music #art #nyc #london #uk #SA #qld #vic #nsw #Queensland https://t.co/9jlbzpqwC0","Normal","Normal","NO","Australia","High","NO"
"ConstWeekIndia","L&amp;T Construction bags contract to construct Technology Park in Trivandrum 
Read More: https://t.co/kgYFSWPt0k 
#construction #constructionweek #news #businessnews #projects #india #technology  @Larsen &amp; Toubro","Suspecious","Normal","NO","India","Medium","NO"
"sakaltimes","COVID-19 #lockdown: Seeing through these times without compromising on #healthy lifestyle, #skincare routine.

#Sakal #SakalNews #viral #news #SakalTimes #India #Corona #Covid19india #coronavirus #lockdown #COVID #Covid_19 #health #lifestyle #care

https://t.co/dv5cccKBfS","Suspecious","Normal","NO","India","High","NO"
"iturathore","Having access to personal and behavioural information of over 330 million internet users in India, both the companies could change the entire digital landscape of India  - Dazeinfo https://t.co/CDL2cCcnVt @Facebook @reliancejio #telecom #india #news #investment #fdi #tech","Normal","Normal","NO","India","Medium","NO"
