"username","tweet","twt_source","activity","verified","country","followers","isfake"
"ashoksharma81","MARKET OUTLOOK 
https://t.co/P5ukaNfe3u

#jio #Facebook
#MukeshAmbani
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","MARKET OUTLOOK 
https://t.co/t36k4sQp4Y

#thursday #thursdayvibes
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","SGX NIFTY UP 36

saturdaymorning
#Extraction
#Covid_19 
#lockdown
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","WE ARE REALIZING THE NEXT MULTIBAGGAR CALL TOMORROW.

#FridayThoughts
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/P1mfGlnROo","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","PM and FM 
maintenaning distance 

#pm
#Sachin
FridayMotivation 
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/ynE2jEVYVL","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","MARKET OUTLOOK FOR EXPIRY WEEK 

https://t.co/lnvcZdpfIq

#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade","Normal","Normal","NO","India","Medium","NO"
"latestlaws","HC grants interim to man in view of medical condition of wife, son's exams
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #highcourt #Medical 
https://t.co/uFdyRAujV4","Normal","Normal","NO","India","High","NO"
"ashoksharma81","383💥💥💥💥

#thursdayvibes
#ArnabGoswami
thursdaymorning 
#lockdown
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/FKwcJJujqq","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","PICTURE OF THE DAY.....

#FridayFeeling
#SachinTendulkar
#lockdown
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/EZYBvgEmmM","Normal","Normal","NO","India","Medium","NO"
"latestlaws","'Convey presence on Google Map to Police', HC puts precondition to bail
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal @googlemaps #Police #Maps #highcourt #bailout 
https://t.co/grpj6PEKMc","Normal","Normal","NO","India","High","NO"
"ashoksharma81","REMEMBER..
400 CRORE LOSS TO CRUDE TRADERS 

#CrudeOil
#tuesdayvibes
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/B7xUOiZahb","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","Remember....
STAY AHEAD OF OTHERS. 
SUBSCRIBE SURE SHOT PACK 
WHATSAPP: 9436024967.

#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch https://t.co/GE5K7kaepN","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","Remember....
STAY AHEAD OF OTHERS. 
SUBSCRIBE SURE SHOT PACK 
WHATSAPP: 9436024967.

#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch https://t.co/NjzaOWqz1G","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","A SATURDAY THOUGHT......

#SaturdayMotivation
#lockdown #crude
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/ka7J5Rw6Gi","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","#BREAKING
Another FM meet today

#PMModi
#fridaymorning 
#lockdown
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade","Normal","Normal","NO","India","Medium","NO"
